00.wav,0.7
01.wav,0.6
02.wav,0.64
03.wav,0.9
04.wav,0.9
05.wav,-0.8
06.wav,-0.4
07.wav,-0.6
08.wav,-0.95
09.wav,-0.84
10.wav,-0.1
11.wav,0.2
12.wav,0.1
13.wav,0.15
14.wav,0.2
15.wav,0.5
16.wav,0.9
17.wav,0.85
18.wav,0.8
19.wav,0.89
20.wav,0.2
21.wav,0.3
22.wav,0.25
23.wav,0.3
24.wav,0.45
25.wav,-0.5
26.wav,-0.94
27.wav,-0.8
28.wav,-0.8
29.wav,-0.85
30.wav,-0.2
31.wav,-0.25
32.wav,-0.1
33.wav,0.0
34.wav,-0.15
35.wav,-0.1
36.wav,-0.2
37.wav,-0.12
38.wav,-0.05
39.wav,0.0
40.wav,0.8
41.wav,0.7
42.wav,0.7
43.wav,0.9
44.wav,0.4
45.wav,0.6
46.wav,0.5